Number of line;Title;Text
865;;Нехай сяду
866;;Замість закоханця.
867;;
868;;Дали мені
869;;Їсти перепілку.
870;;Дали мені
871;;Їсти перепілку.
872;;
873;;Ой ззів же я
874;;Крильце та й реберце.
875;;Ой ззів же я
876;;Крильце та й реберце.
877;;
878;;– Бувай тепер,
879;;Моє серце.
880;;– Бувай тепер,
881;;Моє серце.
882;;
883;ОЙ ПО ГОРІ СЕРБИН ХОДИТ;Ой по горі Сербин ходит,
884;;Сокирою ячмінь косит.
885;;Сокирою ячмінь косит.
886;;
887;;Сокирою ячмінь косит,
888;;За ним дівча їсти носит.
889;;За ним дівча їсти носит.
890;;
891;;– Ой Сербине-Сербиночку,
892;;Сватай мене, дівчиночку.  
893;;Сватай мене, дівчиночку.  
894;;
895;;– Не буду тебе сватати,
896;;Бо не вмієш чарувати.  
897;;Бо не вмієш чарувати.  
898;;
899;;Зчаруй брата рідненького –
900;;Будеш мати миленького.
901;;Будеш мати миленького.  
902;;
903;;– Ой якби я чарів знала,
904;;Я би їго зчарувала.
905;;Я би їго зчарувала.  
906;;
907;;– Ой у лузі, при калині,
908;;Висит змія на калині.
909;;Висит змія на калині.  
910;;
911;;На ню сонце припікає,
912;;А з неї сок витікає.  
913;;А з неї сок витікає.  
914;;
915;;Підстав, мила, коновочку, –
916;;Най натече того сочку.
917;;Най натече того сочку.  
918;;
919;;Дурна дівка послухала,
920;;З коновочков поманджала ...  
921;;З коновочков поманджала ...  
922;;
923;;Ї брат в місті дар купує,
924;;Вона йому чар готує.  
925;;Вона йому чар готує.  
926;;
927;;Брат до неї з дароньками –
928;;В’на до брата з чароньками.
929;;В’на до брата з чароньками.  
930;;
931;;– Ой на, брате, сего пива,
932;;Сама-м їго наварила.  
933;;Сама-м їго наварила.  
934;;
935;;Сама-м їго наварила
936;;Й сама-м ся їго напила.  
937;;Й сама-м ся їго напила.  
938;;
939;;Брат послухав та й напився
940;;Й лиш по коні повалився.  
941;;Й лиш по коні повалився.  
942;;
943;;– Що ж се, сестро, та за пиво –
944;;Коло серця ня зв'ялило?  
945;;Коло серця ня зв'ялило?  
946;;
947;;– Ой Сербине, Сербиночку,
948;;Сватай мене, дівчиночку.  
949;;Сватай мене, дівчиночку.  
950;;
951;;– Не буду ж тебе сватати –
952;;Навчила-с ся чарувати.  
953;;Навчила-с ся чарувати.  
954;;
955;;Зчарувала-с брата свого –
956;;Зчаруєш 'ня, молодого.  
957;;Зчаруєш 'ня, молодого.  
958;;
959;;– Що ж я, бідна, наробила,
960;;Що ні брата, ні Сербина?..
961;;
962;НАДЛЕТІЛА ЗОЗУЛЕНЬКА;Надлетіла зозуленька
963;;Та й сказала: – Ку-ку!
964;;Виломали молодиці
965;;Гультяйові руку.
966;;
967;;Ой як вони виломали,
968;;Не сказав нікому,
969;;Узяв ручку за пазушку
970;;Та й пішов додому.
971;;
972;;Ой як прийшов додомочку
973;;Та й сів на лавочку,
974;;Схилив на стіл, на тесовий
975;;Свою головочку.
976;;
977;;– Мамко моя старесенька,
978;;Мамко ж моя мила,
979;;Болит мене права ручка,
980;;– Відей ся розвила*.
981;;
982;;– Най тя болит,
983;;Най тя болит,
984;;Най тя не вгаває,
985;;Нехай чужі молодиці
986;;Та й не зачіпає.
987;;
988;;Ой летіла зозуленька
989;;Через гай-діброву,
990;;Видзьобала пшениченьку,
991;;Лишила полову.
992;;
993;;– Ой що ж мені з половиці,
994;;Коли зерна нема?
995;;Ой що ж мені з чужих хлопців,
996;;Коли мого нема?
997;;
998;;– Ой що ж мені з половиці,
999;;Коли зерна нема?
1000;;Ой що ж мені з чужих дівок,
1001;;Коли свої нема?
1002;;
1003;ОЙ ВИШЕНЬКО-ЧЕРЕШЕНЬКО;– Ой вишенько-черешенько,
1004;;Чом ягід не родиш?
1005;;– Молодая дівчинонько,
1006;;Чом гулять не ходиш?
1007;;– Молодая дівчинонько,
1008;;Чом гулять не ходиш?
1009;;
1010;;– Як же ж мені ягід родить,
1011;;Корінь осихає,
1012;;– Як же ж мені гулять ходить,
1013;;Милий покидає.
1014;;– Як же ж мені гулять ходить,
1015;;Милий покидає.
1016;;
1017;;Тече річка невеличка
1018;;Та й попід горою,
1019;;Взяла дівка нові відра,
1020;;Пішла за водою.
1021;;Взяла дівка нові відра,
1022;;Пішла за водою.
1023;;
1024;;Води вона не набрала,
1025;;Стала й подумала,
1026;;Як згадала про милого,
1027;;Зразу в воду впала.
1028;;Як згадала про милого,
1029;;Зразу в воду впала.
1030;;
1031;;Біжить батько, біжить мати
1032;;І кричить: – Рятуйте!
1033;;А дівчина відказала:
1034;;– За мной не жалуйте.
1035;;А дівчина відказала:
1036;;– За мной не жалуйте.
1037;;
1038;;Було мене жалувати,
1039;;Як була маленька,
1040;;А тепер нехай жаліє
1041;;Сирая земленька.
1042;;А тепер нехай жаліє
1043;;Сирая земленька.
1044;;
1045;ОЙ ВИШЕНЬКО-ЧЕРЕШЕНЬКО;– Ой вишенько-черешенько,
1046;;Чом ягід не родиш?
1047;;Молодая дівчинонька,
1048;;Чом гулять не ходиш?
1049;;Молодая дівчинонька,
1050;;Чом гулять не ходиш?
1051;;
1052;;– Ой як мені ягід родить, –
1053;;Туман налягає.
1054;;Ой як мені гулять ходить, –
1055;;Милий покидає.
1056;;Ой як мені гулять ходить, –
1057;;Милий покидає.
1058;;
1059;;Тече річка невеличка
1060;;Поміж осокою,
1061;;Взяла дівка нові відра,
1062;;Пішла за водою.
1063;;Взяла дівка нові відра,
1064;;Пішла за водою.
1065;;
1066;;А ще й води не набрала,
1067;;Стала, подумала,
1068;;Як згадала за милого,
1069;;Та й у воду впала.
1070;;Як згадала за милого,
1071;;Та й у воду впала.
1072;;
1073;;Біжить батько, біжить мати
1074;;Та й кричать: – Рятуйте!
1075;;А дівчина отвічає:
1076;;– За мной не шкодуйте!
1077;;А дівчина отвічає:
1078;;– За мной не шкодуйте!
1079;;
1080;;Було тоді шанувати,
1081;;Як була маленька,
1082;;А тепера пожаліє
1083;;Та й земля сиренька!
1084;;А тепера пожаліє
1085;;Та й земля сиренька!
1086;;
1087;ШИРОКАЯ ВУЛИЧЕНЬКА;Широкая вуличенька
1088;;Від прута до прута,
1089;;Дурна дівка, нерозумна,
1090;;Що йде за рекрута.
1091;;Дурна дівка, нерозумна,
1092;;Що йде за рекрута.
1093;;
1094;;Молодого рекрутоньку
